fragment	start	end	OTU_START	OTU_END	AAA_START	AAA_END	IPDDE_START	IPDDE_END	IIPDDE_START	IIPDDE_END	ITPR_START	ITPR_END	IITPR_START	IITPR_END	DUB_START	DUB_END	ILRR_START	ILRR_END	IILRR_START	IILRR_END	TOXIN_START	TOXIN_END	IDUF_START	IDUF_END	IIDUF_START	IIDUF_END	ICA2_START	ICA2_END	IICA2_START	IICA2_END	RTX_START	RTX_END	SAL_START	SAL_END	IANK_START	IANK_END	IIANK_START	IIANK_END	IIIANK_START	IIIANK_END	LATRO_START	LATRO_END	MACO_START	MACO_END	STOP1_START	STOP1_END	STOP2_START	STOP2_END	STOP3_START	STOP3_END	STOP4_START	STOP4_END	STOP5_START	STOP5_END	STOP6_START	STOP6_END	STOP7_START	STOP7_END	STOP8_START	STOP8_END	STOP9_START	STOP9_END	STOP10_START	STOP10_END	STOP11_START	STOP11_END	STOP12_START	STOP12_END
OriASFSC4	1	833	0	0	13	117	229	340	573	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriGil	1	833	0	0	13	117	229	340	573	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriJJ1	1	831	0	0	13	117	223	338	571	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriJJ5	1	828	0	0	13	117	224	335	568	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriJJ6	1	831	0	0	13	117	223	338	571	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriJJ7	1	831	0	0	13	117	228	339	571	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriJJ8	1	832	0	0	13	117	229	340	572	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriKato	1	831	0	0	13	117	223	338	571	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	638	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriTA686	1	831	0	0	13	117	229	338	571	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriTA716	1	835	0	0	13	117	223	342	575	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriTA763	1	832	0	0	13	117	229	340	572	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriTW1	1	828	0	0	13	117	224	335	568	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriTW22	1	832	0	0	13	117	228	339	572	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriUT76	1	828	0	0	13	117	224	335	568	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriUT176	1	827	0	0	13	117	223	334	567	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OriWuj	1	822	0	0	13	117	224	335	568	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	17	59	62	99	102	119	122	145	148	241	244	502	505	729	732	783	786	0	0	0	0	0	0
MesenetGL2_2	1	3568	52	227	269	400	487	588	858	973	0	0	0	0	0	0					1259	1484	0	0	0	0					0	0	0	0	2379	3282	0	0	0	0	3389	3533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MesenetL5_2	1	3568	52	227	269	400	487	588	858	973	0	0	0	0	0	0					1259	1484	0	0	0	0					0	0	0	0	2379	3282	0	0	0	0	3389	3533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MesenetGL2_1	1	5065	0	0	38	165	361	461	721	842	0	0	0	0	961	1052					0	0	1593	1828	0	0					2155	2211	0	0	2344	2514	3239	3512	3675	4644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MesenetL5_1	1	5065	0	0	38	165	361	461	721	842	0	0	0	0	961	1052					0	0	1593	1828	0	0					2155	2211	0	0	2344	2514	3239	3512	3675	4644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CarcBtQ1	1	541	0	0	30	129	259	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CarTP	1	1039	0	0	0	0	171	333	496	637	0	0	0	0	755	850					0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rllvolcan	1	1650	0	0	38	119	303	404	652	748	0	0	0	0	0	0					0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CoxRA15029	1	2853	0	0	19	120	240	335	584	689	0	0	0	0	0	0					992	1653	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
